repo,sha,parent,child,lic_parent,lic_child
apache/airflow,,@zag-js/focus-trap,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/remove-scroll,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/dismissable,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/types,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/popper,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/anatomy,unknown,unknown
apache/airflow,,@zag-js/hover-card,@zag-js/core,unknown,unknown
apache/airflow,,@bundled-es-modules/statuses,statuses,ISC,MIT
apache/airflow,,yargs,y18n,MIT,ISC
apache/airflow,,yargs,cliui,MIT,unknown
apache/airflow,,yargs,escalade,MIT,MIT
apache/airflow,,yargs,get-caller-file,MIT,ISC
apache/airflow,,yargs,string-width,MIT,unknown
apache/airflow,,yargs,require-directory,MIT,MIT
apache/airflow,,yargs,yargs-parser,MIT,ISC
apache/airflow,,@bundled-es-modules/cookie,cookie,ISC,MIT
apache/airflow,,@bundled-es-modules/tough-cookie,@types/tough-cookie,ISC,MIT
apache/airflow,,@bundled-es-modules/tough-cookie,tough-cookie,ISC,unknown
apache/airflow,,@inquirer/confirm,@types/node,MIT,MIT
apache/airflow,,@inquirer/confirm,@inquirer/type,MIT,MIT
apache/airflow,,@inquirer/confirm,@inquirer/core,MIT,unknown
apache/airflow,,@mswjs/interceptors,@open-draft/until,MIT,MIT
apache/airflow,,@mswjs/interceptors,outvariant,MIT,MIT
apache/airflow,,@mswjs/interceptors,@open-draft/logger,MIT,unknown
apache/airflow,,@mswjs/interceptors,strict-event-emitter,MIT,MIT
apache/airflow,,@mswjs/interceptors,@open-draft/deferred-promise,MIT,MIT
apache/airflow,,@mswjs/interceptors,is-node-process,MIT,MIT
apache/airflow,,@zag-js/react,@zag-js/store,unknown,unknown
apache/airflow,,@zag-js/react,react,unknown,MIT
apache/airflow,,@zag-js/react,react-dom,unknown,MIT
apache/airflow,,@zag-js/react,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/react,@zag-js/types,unknown,unknown
apache/airflow,,@zag-js/react,@zag-js/core,unknown,unknown
apache/airflow,,@zag-js/store,proxy-compare,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,natural-compare,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,graphemer,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,@eslint-community/eslint-utils,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,jsonc-eslint-parser,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,eslint,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,espree,unknown,BSD-2-Clause
apache/airflow,,eslint-plugin-jsonc,synckit,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,eslint-compat-utils,unknown,MIT
apache/airflow,,eslint-plugin-jsonc,eslint-json-compat-utils,unknown,MIT
apache/airflow,,@eslint-community/eslint-utils,eslint-visitor-keys,MIT,Apache-2.0
apache/airflow,,@eslint-community/eslint-utils,eslint,MIT,MIT
apache/airflow,,jsonc-eslint-parser,eslint-visitor-keys,MIT,Apache-2.0
apache/airflow,,jsonc-eslint-parser,acorn,MIT,MIT
apache/airflow,,jsonc-eslint-parser,semver,MIT,ISC
apache/airflow,,jsonc-eslint-parser,espree,MIT,BSD-2-Clause
apache/airflow,,eslint,@types/json-schema,MIT,MIT
apache/airflow,,eslint,chalk,MIT,MIT
apache/airflow,,eslint,cross-spawn,MIT,MIT
apache/airflow,,eslint,json-stable-stringify-without-jsonify,MIT,MIT
apache/airflow,,eslint,natural-compare,MIT,MIT
apache/airflow,,eslint,ajv,MIT,unknown
apache/airflow,,eslint,esquery,MIT,BSD-3-Clause
apache/airflow,,eslint,esutils,MIT,BSD-2-Clause
apache/airflow,,eslint,@humanwhocodes/module-importer,MIT,Apache-2.0
apache/airflow,,eslint,minimatch,MIT,ISC
apache/airflow,,eslint,lodash.merge,MIT,MIT
apache/airflow,,eslint,glob-parent,MIT,ISC
apache/airflow,,eslint,fast-deep-equal,MIT,MIT
apache/airflow,,eslint,imurmurhash,MIT,MIT
apache/airflow,,eslint,is-glob,MIT,MIT
apache/airflow,,eslint,optionator,MIT,unknown
apache/airflow,,eslint,find-up,MIT,MIT
apache/airflow,,eslint,file-entry-cache,MIT,MIT
apache/airflow,,eslint,escape-string-regexp,MIT,MIT
apache/airflow,,eslint,ignore,MIT,MIT
apache/airflow,,eslint,@eslint/eslintrc,MIT,unknown
apache/airflow,,eslint,@eslint-community/regexpp,MIT,MIT
apache/airflow,,eslint,@humanfs/node,MIT,unknown
apache/airflow,,eslint,jiti,MIT,MIT
apache/airflow,,eslint,@eslint/plugin-kit,MIT,Apache-2.0
apache/airflow,,eslint,@eslint/core,MIT,Apache-2.0
apache/airflow,,eslint,zod,MIT,MIT
apache/airflow,,eslint,@eslint/config-array,MIT,Apache-2.0
apache/airflow,,eslint,@humanwhocodes/retry,MIT,Apache-2.0
apache/airflow,,eslint,eslint-visitor-keys,MIT,Apache-2.0
apache/airflow,,eslint,@types/estree,MIT,MIT
apache/airflow,,eslint,@eslint-community/eslint-utils,MIT,MIT
apache/airflow,,eslint,eslint-scope,MIT,BSD-2-Clause
apache/airflow,,eslint,@eslint/js,MIT,MIT
apache/airflow,,eslint,debug,MIT,MIT
apache/airflow,,eslint,@modelcontextprotocol/sdk,MIT,MIT
apache/airflow,,eslint,@eslint/config-helpers,MIT,Apache-2.0
apache/airflow,,eslint,espree,MIT,BSD-2-Clause
apache/airflow,,espree,acorn-jsx,BSD-2-Clause,unknown
apache/airflow,,espree,eslint-visitor-keys,BSD-2-Clause,Apache-2.0
apache/airflow,,espree,acorn,BSD-2-Clause,MIT
apache/airflow,,synckit,@pkgr/core,MIT,MIT
apache/airflow,,synckit,tslib,MIT,0BSD
apache/airflow,,eslint-compat-utils,semver,MIT,ISC
apache/airflow,,eslint-compat-utils,eslint,MIT,MIT
apache/airflow,,eslint-json-compat-utils,esquery,MIT,BSD-3-Clause
apache/airflow,,eslint-json-compat-utils,jsonc-eslint-parser,MIT,MIT
apache/airflow,,eslint-json-compat-utils,eslint,MIT,MIT
apache/airflow,,@uiw/codemirror-themes,@codemirror/state,unknown,MIT
apache/airflow,,@uiw/codemirror-themes,@codemirror/language,unknown,MIT
apache/airflow,,@uiw/codemirror-themes,@codemirror/view,unknown,MIT
apache/airflow,,wrap-ansi,string-width,unknown,unknown
apache/airflow,,wrap-ansi,strip-ansi,unknown,MIT
apache/airflow,,wrap-ansi,ansi-styles,unknown,MIT
apache/airflow,,ansi-styles,color-convert,MIT,unknown
apache/airflow,,@typescript-eslint/typescript-estree,fast-glob,unknown,MIT
apache/airflow,,@typescript-eslint/typescript-estree,is-glob,unknown,MIT
