repo,sha,name,license,is_root
apache/airflow,,@zag-js/popover,unknown,False
apache/airflow,,@zag-js/date-picker,unknown,False
apache/airflow,,@zag-js/collection,unknown,False
apache/airflow,,@zag-js/number-input,unknown,False
apache/airflow,,@zag-js/tabs,unknown,False
apache/airflow,,@zag-js/highlight-word,unknown,False
apache/airflow,,@zag-js/accordion,unknown,False
apache/airflow,,@zag-js/signature-pad,unknown,False
apache/airflow,,@zag-js/combobox,unknown,False
apache/airflow,,@zag-js/avatar,unknown,False
apache/airflow,,@zag-js/date-utils,unknown,False
apache/airflow,,@zag-js/rating-group,unknown,False
apache/airflow,,@zag-js/presence,unknown,False
apache/airflow,,express-rate-limit,unknown,False
apache/airflow,,express,MIT,False
apache/airflow,,crelt,MIT,False
apache/airflow,,side-channel-weakmap,unknown,False
apache/airflow,,side-channel-map,MIT,False
apache/airflow,,chakra-react-select,unknown,False
apache/airflow,,react-select,MIT,False
apache/airflow,,@chakra-ui/react,unknown,False
apache/airflow,,next-themes,MIT,False
apache/airflow,,@uiw/codemirror-theme-duotone,unknown,False
apache/airflow,,set-function-length,unknown,False
apache/airflow,,function-bind,MIT,False
apache/airflow,,@uiw/codemirror-theme-darcula,unknown,False
apache/airflow,,js-tokens,MIT,False
apache/airflow,,querystringify,MIT,False
apache/airflow,,requires-port,MIT,False
apache/airflow,,esprima,BSD-2-Clause AND BSD-3-Clause,False
apache/airflow,,argparse,MIT,False
apache/airflow,,@stylistic/eslint-plugin,unknown,False
apache/airflow,,@typescript-eslint/utils,MIT,False
apache/airflow,,@swc/core,unknown,False
apache/airflow,,@swc/core-linux-x64-musl,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-linux-arm64-musl,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-linux-x64-gnu,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-darwin-x64,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-win32-ia32-msvc,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-win32-x64-msvc,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-linux-arm64-gnu,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-win32-arm64-msvc,Apache-2.0 AND MIT,False
apache/airflow,,@swc/core-linux-arm-gnueabihf,Apache-2.0,False
apache/airflow,,@swc/core-darwin-arm64,Apache-2.0 AND MIT,False
apache/airflow,,@floating-ui/core,unknown,False
apache/airflow,,@floating-ui/utils,MIT,False
apache/airflow,,side-channel,unknown,False
apache/airflow,,@uiw/codemirror-theme-console,unknown,False
apache/airflow,,has-proto,unknown,False
apache/airflow,,dunder-proto,MIT,False
apache/airflow,,body-parser,unknown,False
apache/airflow,,content-type,MIT,False
apache/airflow,,qs,BSD-3-Clause,False
apache/airflow,,iconv-lite,MIT,False
apache/airflow,,bytes,MIT,False
apache/airflow,,on-finished,MIT,False
