repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ipykernel,unknown,BSD-2-Clause,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/checkout,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pyparsing,unknown,MIT,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,types-python-dateutil,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinxcontrib-svg2pdfconverter,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pystemmer,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,cygwin/cygwin-install-action,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinxcontrib-video,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,peter-evans/create-or-update-comment,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,fonttools,unknown,MIT,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,cycler,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-rerunfailures,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pybind11,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,github/codeql-action/analyze,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,reviewdog/action-setup,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,nbconvert,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-gallery,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,@jsxtools/resize-observer,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pypa/gh-action-pypi-publish,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/labeler,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,codecov/codecov-action,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,actions/cache,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,async-timeout,unknown,Apache-2.0,US,
pallets/flask,,com.github.pallets/flask,flask,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,prompt-toolkit,unknown,BSD-2-Clause AND BSD-3-Clause,US,
pallets/flask,,com.github.pallets/flask,werkzeug,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,wcwidth,unknown,MIT,US,
pallets/flask,,com.github.pallets/flask,click-repl,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,pytest,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,astral-sh/setup-uv,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,actions/upload-artifact,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,pypa/gh-action-pypi-publish,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,click,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,jinja2,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,six,unknown,MIT,US,
pallets/flask,,com.github.pallets/flask,dessant/lock-threads,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,blinker,unknown,MIT,US,
pallets/flask,,com.github.pallets/flask,vine,unknown,BSD-2-Clause,US,
