repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label,label_source,label_confidence
jupyterlab/jupyterlab,,normalize-package-data,resolve,BSD-2-Clause,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,@typescript-eslint/eslint-plugin,@typescript-eslint/scope-manager,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,@jupyterlab/audio-extension,unknown,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,http-errors,toidentifier,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,jest-message-util,pretty-format,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,jest-haste-map,@types/node,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,json5,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,lerna,p-map,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,minizlib,minipass,MIT,ISC,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@jest/reporters,graceful-fs,unknown,ISC,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,jest-leak-detector,pretty-format,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@babel/plugin-syntax-import-assertions,@babel/helper-plugin-utils,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,verdaccio,compression,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/first-interaction,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,mypy,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,python-dateutil,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-timeout,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pandas-stubs,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ipython,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,imjohnbo/issue-bot,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,numpy,unknown,BSD-2-Clause,US,compatible,child_permissive,high
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,mpl-sphinx-theme,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pydata-sphinx-theme,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,prettier,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,setuptools,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pillow,unknown,MIT-CMU,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,tornado,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,eslint,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/cache,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-design,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,numpydoc,unknown,unknown,US,compatible,default_compatible,low
